ABE ABG ACS ACX ANA BKT BBVA BME BTO CRI ELE ENG FCC FER GAM GAS GRF IBE IBLA IBR IDR ITX MAP POP REE REP SAB SAN MTS SYV TEF TL5 TRE OHL
-0.0042625746  0.0447390224 -0.0104091888 -0.0009460738  0.0458751983  0.0228070175 -0.0264993026  0.0171428571 -0.0487144790  0.0000000000 -0.0533847001  0.0150715901 -0.0111788618 -0.0005128205  0.0353037767  0.0048833424 -0.0096942580  0.0018484288 -0.0145631068  0.0335570470  0.0096485183  0.0392749245 -0.0045045045 -0.0121951220 -0.0169184290 -0.0037878788  0.0023094688  0.0039292731  0.0385093168 -0.0386904762  0.0053722180  0.0178837556  0.0165525114  0.0101010101
-0.0017021277  0.0058333333  0.0156762669 -0.0347031963 -0.0221073045  0.0458715596 -0.0027816412 -0.0223463687  0.0335664336  0.0122448980  0.0230855856 -0.0067365269  0.0191610564  0.0098394614 -0.0240384615  0.0154269972 -0.0044543430 -0.0036832413  0.0300000000  0.0347222222  0.0000000000 -0.0405797101  0.0045248869 -0.0238095238  0.0153374233 -0.0379008746 -0.0181405896 -0.0019607843 -0.0188909202 -0.0014858841 -0.0113808801 -0.0029717682  0.0045871560 -0.0240963855
-0.0240863787 -0.0625000000 -0.0310844225 -0.0205724508 -0.0586588779 -0.0404929577 -0.0613577023 -0.0061690315  0.0185185185 -0.0160642570 -0.0563230606 -0.0059523810 -0.0421626984 -0.0626213592 -0.0714285714 -0.0268096515  0.0377503852 -0.0440140845 -0.0049751244 -0.0367892977 -0.0195945946 -0.0230088496 -0.0133928571 -0.0400000000 -0.0121212121 -0.0122390209 -0.0433839479 -0.0777576854 -0.0749718151 -0.0073746313 -0.0337243402 -0.0232220610 -0.0449069003 -0.0597322348
 0.0343642612  0.0256410256 -0.0237931034 -0.0141093474 -0.0017008869 -0.0290598291 -0.0388958595 -0.0385527877 -0.0277008310 -0.0273437500 -0.0213208528 -0.0132158590 -0.0175438596 -0.0072289157 -0.0175438596 -0.0085061138  0.0367412141  0.0070921986 -0.0195121951  0.0033557047  0.0206896552 -0.0035273369 -0.0260869565 -0.0304709141  0.0085574572 -0.0021551724 -0.0335429769 -0.0332167832 -0.0274122807 -0.0314285714 -0.0151624549  0.0014534884 -0.0145709660 -0.0299700300
-0.0308076603 -0.0188679245 -0.0215924426 -0.0087412587 -0.0511815562 -0.0101522843 -0.0256723716  0.0083732057 -0.0013831259 -0.0077519380 -0.0408977556 -0.0021978022 -0.0237868696 -0.0147198481 -0.0221586848 -0.0208224883 -0.0055599682 -0.0139860140 -0.0284360190 -0.0324675325 -0.0268456376 -0.0132265924  0.0043668122 -0.0243243243 -0.0215311005 -0.0319888734 -0.0103734440 -0.0154905336 -0.0379746835 -0.0502035278 -0.0092989986 -0.0241134752 -0.0074986610 -0.0039800995
-0.0195918367 -0.0093457944 -0.0070351759 -0.0255536627 -0.0048181714 -0.0100502513 -0.0108827086 -0.0129870130 -0.0136425648 -0.0076923077  0.0080442433 -0.0065502183 -0.0191320579 -0.0140449438  0.0167151163  0.0158646219  0.0104333868 -0.0321489002  0.0193236715 -0.0128205128 -0.0119363395 -0.0177777778 -0.0213675214 -0.0133333333 -0.0068310068  0.0027894003 -0.0082304527 -0.0085324232 -0.0150649351  0.0068306011 -0.0049822064  0.0014204545 -0.0074428495  0.0090361446
-0.0080971660  0.0346494762 -0.0264187867  0.0042771600 -0.0223194258 -0.0164744646 -0.0201421801  0.0137642130 -0.0161073826 -0.0114068441  0.0040383645 -0.0043478261 -0.0355535554  0.0470588235 -0.0192444761 -0.0237480640  0.0113636364 -0.0083892617  0.0000000000  0.0263157895 -0.0239482201 -0.0552325581 -0.0084745763  0.0000000000  0.0059755004  0.0170212766  0.0103950104 -0.0200668896 -0.0118069815 -0.0252996005 -0.0035460993  0.0057142857 -0.0015923567 -0.0099403579
 0.0065199674 -0.0087859425 -0.0068027211 -0.0370675453  0.0021355513 -0.0097879282 -0.0276497696  0.0060204696  0.0013440860 -0.0112781955  0.0122636689 -0.0036101083 -0.0044802867  0.0019646365 -0.0290657439  0.0216244726 -0.0072522160 -0.0293159609  0.0097560976 -0.0470219436  0.0265780731 -0.0465044657 -0.0125523013 -0.0234375000  0.0042004200 -0.0242214533  0.0000000000 -0.0132013201 -0.0255127564  0.0287671233 -0.0139860140 -0.0371389271 -0.0202808112 -0.0098425197
 0.0040916530  0.0347107438  0.0144594151  0.0483592401  0.0350162866  0.0425170068  0.0081300813  0.0310366232  0.0094979647 -0.0037453184 -0.0219890055  0.0139092240  0.0017953321  0.0393057682 -0.0055058500  0.0276422764  0.0652360515 -0.0064724919  0.0199004975 -0.0062305296 -0.0039708802  0.0387076136  0.0717488789  0.0212765957  0.0006004203  0.0119047619  0.0105042017  0.0133779264  0.1390313390  0.0138888889 -0.0027894003  0.0069252078  0.0174603175  0.0211055276
 0.0149501661  0.0324232082  0.0613882107  0.0357781753  0.0097497944  0.0103092784  0.0189349112  0.0222081218 -0.0053981107  0.0037593985  0.0172852059 -0.0101449275  0.0624701955  0.0847176080  0.0786933927  0.0477001704 -0.0339966833  0.0248756219  0.0000000000  0.0031250000  0.0059920107 -0.0138801262  0.0000000000  0.0053475936 -0.0035895902  0.0106157113  0.0170940171  0.0204778157  0.0022844089  0.0730253353  0.0077301476  0.0524781341  0.0459324848  0.0142711519
 0.0220713073  0.0155979203  0.0309241280  0.0419384902  0.0331310680  0.0282685512  0.0432098765  0.0527722111  0.0234806630  0.0640000000  0.0175892395  0.0102489019  0.0145137881  2.8672376874  0.0924574209  0.0513432836  0.0263829787  0.0307692308  0.0151515152  0.0666666667  0.0134952767  0.0673400673  0.0324074074  0.0594900850  0.0111917725  0.0505576208  0.0285714286  0.0371681416  0.0984943538  0.0533751962  0.0274368231  0.0378214826  0.0698638247  0.0380952381
 0.0155172414  0.0415162455  0.0269571640  0.0113100848  0.0342663487  0.0235081374  0.0279187817  0.0149152542  0.0111731844  0.0040160643  0.0157645822 -0.0151405912  0.0182266010 -0.0057870370  0.0090016367  0.0120845921  0.0077186964  0.0465116279  0.0102040816  0.0238907850  0.0171585450  0.0139979515  0.0188679245  0.1573770492  0.0054744526  0.0267175573  0.0000000000  0.0235507246  0.0056782334  0.0031496063  0.0131675201  0.0076219512  0.0180831826  0.0063897764
-0.0152801358 -0.0280701754 -0.0029455081  0.0009433962  0.0123252859 -0.0195035461 -0.0150000000 -0.0006775068 -0.0096818811 -0.0119047619  0.0042216359  0.0221075903 -0.0121654501  2.4909090909 -0.0024489796  0.0054678007  0.0264084507  0.0126811594 -0.0200000000  0.0209059233  0.0125086866 -0.0171140940 -0.0363636364 -0.0065146580  0.0173267327  0.0076923077 -0.0277777778 -0.0125223614  0.0006313131 -0.0451127820 -0.0087019579 -0.0223546945  0.0066747573  0.0107642626
-0.0256410256 -0.0206185567  0.0089153046 -0.0111940299 -0.0005080010  0.0035587189  0.0012515645 -0.0120481928  0.0027739251 -0.0454545455  0.0085151676 -0.0022058824 -0.0033947624 -0.0194660734 -0.0064882401 -0.0120048019 -0.0147441457  0.0036363636 -0.0147783251 -0.0034722222  0.0000000000  0.0098271772 -0.0045248869  0.0032679739  0.0049751244 -0.0196078431  0.0000000000  0.0035906643  0.0239172592  0.0106382979 -0.0050505051 -0.0059259259  0.0122850123 -0.0064171123
-0.0320256205 -0.0085178876 -0.0225127088 -0.0218978102 -0.0167332667 -0.0425894378 -0.0135802469 -0.0079681275 -0.0217096336  0.0114942529 -0.0244029076  0.0187265918 -0.0427112349 -0.0526870390 -0.0344557557 -0.0095124851 -0.0051768766 -0.0107913669  0.0252525253 -0.0335570470 -0.0096352374 -0.0318241470 -0.0432900433 -0.0316455696 -0.0192131747 -0.0067415730 -0.0290456432 -0.0279232112 -0.0663850332 -0.0280649926 -0.0149253731 -0.0145985401 -0.0257330940 -0.0300829876
-0.0234558249 -0.0126156434 -0.0289139633 -0.0343612335 -0.0080515298 -0.0033955857 -0.0073529412  0.0033311126  0.0109739369  0.0275590551  0.0120861797  0.0022522523 -0.0050808314 -0.0015781168 -0.0199539524 -0.0064973420 -0.0068551842  0.0183150183  0.0153846154  0.0101694915  0.0055363322  0.0335707019  0.0000000000  0.0000000000  0.0092336103 -0.0066964286 -0.0102669405  0.0177619893 -0.0229952830  0.0165165165 -0.0133239832 -0.0086830680 -0.0129946840  0.0083682008
 0.0232000000  0.0008417508  0.0290275762 -0.0017590150  0.0039796045  0.0068376068  0.0136645963  0.0351724138  0.0041322314 -0.0078125000  0.0319956616  0.0285714286  0.0000000000  0.0214938205  0.0077339520  0.0005910165  0.0112651646  0.0282485876  0.0540540541  0.0102739726 -0.0034482759 -0.0080726539  0.0131578947  0.0095846645 -0.0033742331  0.0007446016 -0.0081466395  0.0035650624  0.0071258907  0.0000000000 -0.0014005602 -0.0184659091  0.0198795181  0.0042016807
